GeoFips,GeoName,2020
0,United States,59147
1000,Alabama,45524
2000,Alaska *,63391
4000,Arizona,51332
5000,Arkansas,47522
6000,California,69958
8000,Colorado,64034
9000,Connecticut,77664
10000,Delaware,55810
11000,District of Columbia,89417
12000,Florida,56096
13000,Georgia,51704
15000,Hawaii *,56840
16000,Idaho,48208
17000,Illinois,61957
18000,Indiana,51691
19000,Iowa,53057
20000,Kansas,55677
21000,Kentucky,47058
22000,Louisiana,50810
23000,Maine,53728
24000,Maryland,65534
25000,Massachusetts,77021
26000,Michigan,52724
27000,Minnesota,61464
28000,Mississippi,42270
29000,Missouri,51673
30000,Montana,53085
31000,Nebraska,56869
32000,Nevada,54137
33000,New Hampshire,66534
34000,New Jersey,70314
35000,New Mexico,46092
36000,New York,71449
37000,North Carolina,50996
38000,North Dakota,60451
39000,Ohio,53198
40000,Oklahoma,50114
41000,Oregon,56311
42000,Pennsylvania,60720
44000,Rhode Island,58656
45000,South Carolina,48838
46000,South Dakota,59656
47000,Tennessee,50801
48000,Texas,55399
49000,Utah,51698
50000,Vermont,57423
51000,Virginia,61661
53000,Washington,66907
54000,West Virginia,44868
55000,Wisconsin,55030
56000,Wyoming,62397
91000,New England,71949
92000,Mideast,67680
93000,Great Lakes,55476
94000,Plains,56122
95000,Southeast,52213
96000,Southwest,53755
97000,Rocky Mountain,57469
98000,Far West,67235
